from_id,from_login,from_name,to_id,to_login,to_name,followed_at,closure,follow_total,triad_set,k-connected,total-connected
103262898,o_aliens,O_aliens,24687283,jorbs,jorbs,2021-02-09T10:44:46Z,1,9,['sips_'],['sips_'],1
168089342,ggforce_,ggforce_,24687283,jorbs,jorbs,2021-02-09T09:45:10Z,0,10,[],[],0
27100177,reptailus,Reptailus,24687283,jorbs,jorbs,2021-02-09T09:42:54Z,0,55,[],"['Becca', 'RaizQT', 'Scarra']",3
90797482,incommunicad0,Incommunicad0,24687283,jorbs,jorbs,2021-02-09T06:22:11Z,0,20,[],['Chess'],1
66320167,martiiiin124,Martiiiin124,24687283,jorbs,jorbs,2021-02-09T04:09:32Z,1,168,"['LazyFoxRoar', 'dakotaz', 'Slysssa', 'dogdog', 'AsmodaiTV', 'itsHafu', 'Savjz', 'nicholena', 'Naturesbf']","['Naturesbf', 'AsmodaiTV', 'chessbrah', 'Scarra', 'dogdog', 'LEC', 'nl_Kripp', 'Doublelift', 'imaqtpie', 'Pobelter', 'pokimane', 'LCS', 'PUBG', 'Slysssa', 'dakotaz', 'BuckArmy', 'Riot Games', 'itsHafu', 'Amaz', 'twlevewinsHS', 'nicholena']",21
50257654,numbahwun,NumbahWun,24687283,jorbs,jorbs,2021-02-09T04:04:19Z,1,279,"['Alliestrasza', 'fuslie', 'AsmodaiTV', 'emilyywang', 'krazyghost257', 'Mikkilol', 'alkali_layke']","['AsmodaiTV', 'alkali_layke', 'CeeCee_Lia', 'Amaz', 'fuslie', 'Alliestrasza', 'pokimane', 'Riot Games', 'Scarra']",9
168154779,introverb,introverb,24687283,jorbs,jorbs,2021-02-09T04:03:18Z,1,148,"['EnnuiPoet', 'Sharese']","['Trainwreckstv', 'AustinShow']",2
190035427,jovialnugs,JovialNugs,24687283,jorbs,jorbs,2021-02-09T03:56:32Z,1,171,"['itsHafu', 'emilyywang', 'dogdog', 'bmkibler', 'Ramblinnn', 'Baalorlord', 'Mikkilol', 'TerrenceMHS', 'Arumba07', 'moneymoneyloot']","['itsHafu', 'dogdog', 'LEC', 'DeliciousMilkGG', 'Arumba07', 'keanelol', 'Amaz', 'LCS', 'bmkibler', 'Baalorlord', 'imaqtpie', 'pokimane', 'superjj102', 'Riot Games', 'Becca', 'Scarra']",16
21559186,beatsworking,beatsworking,24687283,jorbs,jorbs,2021-02-09T03:40:02Z,1,287,"['beebomp', 'Sinvicta', 'TheTrute', 'MattiasNL', 'Arumba07', 'Lethalfrag', 'MattOblivium', 'DumbDog', 'AdmiralBahroo', 'SerBeardian', 'Baradul', 'RhapsodyPlays', 'itsHafu', 'moddiply', 'Retromation']","['itsHafu', 'LEC', 'Lethalfrag', 'RhapsodyPlays', 'Arumba07', 'AdmiralBahroo', 'Magic', 'AOC', 'DumbDog', 'Riot Games', 'LCS', 'RaizQT']",12
467566100,secqen,secqen,24687283,jorbs,jorbs,2021-02-09T03:36:34Z,1,83,"['imperial_sympathizer', 'Baalorlord', 'itsHafu', 'dogdog', 'Arvius', 'happyf333tz', 'FilthyRobot']","['itsHafu', 'dogdog', 'chessbrah', 'Arvius', 'Baalorlord', 'GMHikaru', 'NASA', 'happyf333tz', 'FilthyRobot', 'Scarra']",10
42505876,elias5891,Elias5891,24687283,jorbs,jorbs,2021-02-09T03:28:31Z,1,94,"['Yamp44', 'NivekViking', 'LewdDolphin', 'SillyPuppy0218', 'CFlare']",[],0
118860986,kabybby,KabyBBY,24687283,jorbs,jorbs,2021-02-09T02:54:19Z,1,54,"['itsHafu', 'bmkibler', '1437', 'Bloody', 'nicholena', 'Alliestrasza', 'sunglitters', 'AsmodaiTV']","['itsHafu', 'LEC', 'sunglitters', 'nl_Kripp', 'AsmodaiTV', 'AOC', 'Dyrus', 'imaqtpie', 'Bloody', 'nicholena', 'Alliestrasza', 'pokimane', 'bmkibler', 'Scarra']",14
87336613,amoracchius123,Amoracchius123,24687283,jorbs,jorbs,2021-02-09T02:49:42Z,1,54,"['dogdog', 'EladDifficult', 'Celerity', 'Slysssa', 'WobbleWeezy', 'Dekkster']","['WobbleWeezy', 'dogdog', 'nl_Kripp', 'Dekkster', 'Celerity', 'Slysssa']",6
510100552,rpg_drithe,rpg_drithe,24687283,jorbs,jorbs,2021-02-09T02:34:40Z,1,22,['Quin69'],['Quin69'],1
495927239,lordweiramon,lordweiramon,24687283,jorbs,jorbs,2021-02-09T02:34:37Z,1,6,"['dogdog', 'Savjz']","['nl_Kripp', 'dogdog']",2
145096357,sniksy_l_lib,Sniksy_L_Lib,24687283,jorbs,jorbs,2021-02-09T02:33:47Z,1,35,['Panztastic'],[],0
44837001,barezino,barezino,24687283,jorbs,jorbs,2021-02-09T02:31:07Z,0,21,[],[],0
478935284,thiosum,thiosum,24687283,jorbs,jorbs,2021-02-09T02:27:52Z,1,52,"['Educated_Collins', 'Celerity', 'RhapsodyPlays', 'MattOblivium', 'Lethalfrag', 'BoarControlHS', 'SaphirexX', 'BabaYetu_', 'AdmiralBahroo']","['Lethalfrag', 'RhapsodyPlays', 'AdmiralBahroo', 'Celerity', 'BoarControlHS', 'Educated_Collins', 'BabaYetu_']",7
545970243,highlandrain,highlandrain,24687283,jorbs,jorbs,2021-02-09T02:26:12Z,1,91,"['DarkSlash88', 'Lethalfrag', 'haelian', 'Vorime', 'babloization', 'Wriste13', 'courtenberry', 'DomPalombiMusic', 'Baalorlord', 'maxxmaxx1', 'itsHafu']","['itsHafu', 'Amaz', 'Baalorlord', 'Lethalfrag']",4
